Id,AccountId,ContactId,RecordTypeId,Subject,Status,Priority,Origin,Type,Description
CASE-062,ACC-038,CON-150,Technical_Support,Nightly batch job — connection timeout,Working,High,Email,Problem,DSP batch job timing out after 30 minutes for datasets > 2M rows. Needs infrastructure review.
CASE-063,ACC-039,CON-153,Technical_Support,FSI compliance — data masking for PII fields,Working,High,Phone,Problem,Financial services client data containing PII not being masked in Catalyst reporting exports.
CASE-064,ACC-039,CON-154,Feature_Request,Request: FINRA-compliant audit trail,New,Medium,Portal,Enhancement,Feature request for immutable audit trail for all data access events to support FINRA compliance.
CASE-065,ACC-040,CON-157,Technical_Support,Catalyst API returning 500 errors intermittently,Working,High,Portal,Problem,Intermittent 500 errors on the /events/ingest endpoint observed 3-5 times per hour.
CASE-066,ACC-040,CON-158,Onboarding,Salesforce integration — custom object mapping,Working,Medium,Email,Other,Help mapping Catalyst campaign data to custom Salesforce object during implementation.
CASE-067,ACC-041,CON-161,Technical_Support,Series A reporting — board metrics not calculating,Working,High,Portal,Problem,CAC and LTV metrics in the board metrics dashboard not calculating correctly after data model change.
CASE-068,ACC-041,CON-162,Feature_Request,Request: Board-ready export templates,New,Low,Portal,Enhancement,Feature request for pre-built board metric templates for investor reporting.
CASE-069,ACC-042,CON-165,General_Enquiry,How to customise the RevOps dashboard,Closed,Low,Email,Question,Guidance on adding custom KPIs to the RevOps dashboard view.
CASE-070,ACC-043,CON-169,Technical_Support,Native Catalyst integration throwing null events,Working,High,Portal,Problem,Platform-to-Catalyst native integration sending null event payloads for 8% of triggers.
CASE-071,ACC-043,CON-170,Technical_Support,Webhook delivery failing for high-volume events,Working,Medium,Portal,Problem,Webhooks failing to deliver for event volumes > 100K per minute with no retry mechanism.
CASE-072,ACC-044,CON-173,Technical_Support,Churn prediction model missing renewal events,Working,High,Portal,Problem,Subscription renewal events not feeding into the churn prediction model input dataset.
CASE-073,ACC-044,CON-174,Feature_Request,Request: Subscription lifecycle analytics module,New,Medium,Portal,Enhancement,Feature request for a native subscription analytics module with cohort analysis and churn prediction.
CASE-074,ACC-045,CON-177,Onboarding,Initial setup — event tracking for hospitality site,Closed,Medium,Phone,Other,Assisted with JavaScript SDK implementation on hotel booking site during onboarding.
CASE-075,ACC-046,CON-181,Technical_Support,DOOH impression data not reconciling,Escalated,Critical,Phone,Problem,Digital out-of-home impression data 40% under-reported vs Lamar and Clear Channel source data.
CASE-076,ACC-046,CON-182,Technical_Support,National campaign dashboard — 8 widgets not loading,Working,High,Portal,Problem,National campaign dashboard with 8 widgets timing out for date ranges > 90 days.
CASE-077,ACC-047,CON-185,General_Enquiry,How to generate a client-facing attribution report,Closed,Low,Email,Question,Needed help generating attribution reports formatted for client presentation.
CASE-078,ACC-047,CON-186,Technical_Support,Google Ads conversion import failing,Working,High,Portal,Problem,Google Ads conversion import job failing with authentication error since Google API update.
CASE-079,ACC-048,CON-189,Technical_Support,Fortune 500 data pipeline — SLA breach,Escalated,Critical,Phone,Problem,Enterprise data pipeline breaching 99.9% SLA agreement. 4 incidents in past 30 days.
CASE-080,ACC-048,CON-191,Technical_Support,Executive dashboard data lag — 4hr delay,Working,High,Portal,Problem,Executive CMO dashboard showing data 4 hours behind real-time due to caching configuration.
CASE-081,ACC-049,CON-193,General_Enquiry,Content distribution metrics explained,Closed,Low,Email,Question,Needed explanation of Content Hub distribution metrics and how reach is calculated.
CASE-082,ACC-049,CON-194,Technical_Support,Content Hub — publish to LinkedIn failing,Working,Medium,Portal,Problem,Publish to LinkedIn integration returning 403 error since LinkedIn API permission update.
CASE-083,ACC-050,CON-197,Technical_Support,Billing data sync — $200M discrepancy in reporting,Escalated,Critical,Phone,Problem,Annual media billing report showing $200M discrepancy vs internal finance system. Urgent reconciliation required.
CASE-084,ACC-050,CON-198,Technical_Support,Multi-currency reporting — GBP/EUR conversion,Working,High,Portal,Problem,GBP and EUR campaign spend converting at incorrect exchange rates in the consolidated dashboard.
CASE-085,ACC-001,CON-001,Billing,Invoice dispute — Nov 2025 overcharge,Working,High,Phone,Problem,Invoice #INV-2025-1148 showing $8,500 overcharge on Enterprise seat count. 4 licences billed vs 3 active.
CASE-086,ACC-004,CON-016,Billing,Subscription tier pricing clarification,Closed,Low,Email,Question,Requested breakdown of Professional vs Enterprise pricing for budget planning.
CASE-087,ACC-006,CON-024,Billing,Q4 invoice — usage overage charges disputed,Working,High,Phone,Problem,Q4 invoice includes $22,000 in overage charges that exceed contracted usage limits. Dispute raised.
CASE-088,ACC-010,CON-040,Billing,Enterprise contract renewal — billing structure,Closed,Medium,Email,Question,Needed explanation of multi-year billing structure options ahead of renewal negotiation.
CASE-089,ACC-012,CON-048,Billing,Pro-rata credit request — mid-year downgrade,Working,Medium,Portal,Problem,Requested pro-rata credit for seat reduction mid-contract period.
CASE-090,ACC-017,CON-068,Billing,Enterprise invoice — incorrect tax jurisdiction,Closed,High,Phone,Problem,Invoice applying California state tax to New York-billed contract. Jurisdiction code error confirmed.
CASE-091,ACC-021,CON-084,Billing,Payment method update — new corporate card,Closed,Low,Portal,Other,Needed help updating payment method on account after corporate card refresh.
CASE-092,ACC-028,CON-112,Billing,Multi-entity billing — invoice consolidation request,Working,Medium,Email,Other,Request to consolidate 3 entity invoices into single monthly invoice for finance team.
CASE-093,ACC-031,CON-124,Billing,Volume discount — not applied to renewal invoice,Working,High,Portal,Problem,Contracted 15% volume discount not reflected on the annual renewal invoice #INV-2025-2291.
CASE-094,ACC-035,CON-140,Billing,Annual invoice for 12 publications — seat count error,Working,High,Phone,Problem,Annual invoice listing 14 active seats vs contracted 12. Overcharge of $28,000.
CASE-095,ACC-046,CON-184,Billing,Enterprise billing — 8 display locations invoiced incorrectly,Escalated,Critical,Phone,Problem,8 of 22 DOOH display locations invoiced at incorrect rate tier. Total overcharge: $65,000.
CASE-096,ACC-002,CON-005,Onboarding,New team member onboarding — SSO setup,Closed,Medium,Email,Other,Helped new marketing analyst configure SSO login during onboarding week.
CASE-097,ACC-006,CON-021,Onboarding,Onboarding new ad operations manager,Closed,Medium,Phone,Other,Assisted onboarding of new Head of Ad Operations including permission configuration.
CASE-098,ACC-010,CON-039,Onboarding,Platform onboarding — Databricks connector,Working,High,Phone,Other,Complex Databricks connector configuration requiring engineering team involvement.
CASE-099,ACC-012,CON-047,Onboarding,Onboarding RevOps team — 3 new users,Closed,Medium,Portal,Other,Onboarded 3 Revenue Operations team members with appropriate permission sets.
CASE-100,ACC-017,CON-067,Onboarding,CTV platform onboarding — 5 new publishers,Working,High,Phone,Other,Onboarding 5 new CTV publisher integrations requiring platform engineering support.
CASE-101,ACC-021,CON-083,Onboarding,Snowflake connector setup — new data science team,Working,High,Portal,Other,Setting up Snowflake connector for 4-person data science team joining the platform.
CASE-102,ACC-024,CON-095,Onboarding,HubSpot to Salesforce migration — data remapping,Working,High,Phone,Other,Onboarding support for complex CRM migration affecting 3 client accounts.
CASE-103,ACC-028,CON-111,Onboarding,New business unit onboarding — finance vertical,Working,Medium,Email,Other,Onboarding new finance editorial team to existing Brightfield Catalyst account.
CASE-104,ACC-031,CON-123,Onboarding,CPG client data onboarding — Nielsen mapping,Working,High,Phone,Other,Complex data onboarding mapping Nielsen syndicated data to Catalyst input schema.
CASE-105,ACC-038,CON-151,Onboarding,DSP integration onboarding — The Trade Desk,Escalated,Critical,Phone,Other,Critical onboarding blocker: The Trade Desk API not accepting Catalyst bid signal format.
CASE-106,ACC-048,CON-191,Onboarding,Fortune 500 onboarding — 12 business units,Working,High,Phone,Other,Large enterprise onboarding spanning 12 business units with complex permission hierarchy.
CASE-107,ACC-003,CON-011,Feature_Request,Attribution model type selector,Closed,Low,Portal,Enhancement,Request to add a one-click model type selector to the campaign dashboard.
CASE-108,ACC-008,CON-031,Feature_Request,Bulk campaign duplication feature,New,Medium,Portal,Enhancement,Feature request to duplicate multiple campaigns at once for agency workflow efficiency.
CASE-109,ACC-011,CON-043,Feature_Request,CTV-specific reporting metrics,New,Medium,Portal,Enhancement,Request for CTV-native metrics: VCR, quartile completion, linear TV comparison.
CASE-110,ACC-013,CON-051,Feature_Request,Automated insight narratives,Closed,Low,Email,Enhancement,Request for AI-generated narrative summaries alongside dashboard charts.
CASE-111,ACC-015,CON-059,Feature_Request,SEO content performance integration,New,Medium,Portal,Enhancement,Request to pull organic search metrics into Content Hub alongside paid content performance.
CASE-112,ACC-019,CON-075,Feature_Request,Cross-office campaign comparison view,Closed,Medium,Portal,Enhancement,Request for side-by-side campaign performance comparison across multiple offices.
CASE-113,ACC-022,CON-087,Feature_Request,Custom RevOps metric definitions,New,Low,Portal,Enhancement,Request to allow custom formula-based metric definitions in the RevOps dashboard.
CASE-114,ACC-025,CON-099,Feature_Request,Mobile app for dashboard monitoring,New,Low,Email,Enhancement,Feature request for iOS/Android app to monitor campaign dashboards on the go.
CASE-115,ACC-029,CON-115,Feature_Request,Pipeline stage probability calibration,New,Medium,Portal,Enhancement,Request to allow manual calibration of pipeline stage probability scores per account.
CASE-116,ACC-033,CON-131,Feature_Request,Salesforce Flow integration for RevOps alerts,New,Medium,Portal,Enhancement,Feature request to trigger Salesforce Flows from Catalyst pipeline threshold alerts.
CASE-117,ACC-036,CON-143,Feature_Request,Custom date comparison ranges,Closed,Low,Portal,Enhancement,Request for custom period-over-period comparison (not just default 7/30/90 day options).
CASE-118,ACC-040,CON-159,Feature_Request,Catalyst and Salesforce unified view,New,Medium,Portal,Enhancement,Request for unified campaign-to-pipeline view combining Catalyst attribution and Salesforce Opportunity data.
CASE-119,ACC-044,CON-175,Feature_Request,Cohort analysis builder,New,Medium,Portal,Enhancement,Request for drag-and-drop cohort analysis builder for subscription lifecycle analysis.
CASE-120,ACC-049,CON-195,Feature_Request,Content performance benchmarking,New,Low,Portal,Enhancement,Request for industry benchmark overlays on Content Hub performance charts.
